,config_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_avg_precision,test_f1_std,train_f1,train_accuracy,overfit_gap_%
61,62,0.8907572408757074,0.41397044358874596,0.15259536570540957,6,3,800,0.5592149603644323,1.1784587303249987,65.63106079251784,0.7615327123845597,0.9573792615095957,0.736577304743449,0.8373157253740026,0.7836763379579056,0.9287165206973806,0.8588327365435948,0.0076541064816938965,0.959814424039682,0.9922781030305261,22.47587142170897
62,63,0.7934682532794535,0.29047518994408966,0.1982290398424955,9,19,500,2.028376192764871,0.6921774666469716,32.81553039625892,0.6144377312417495,0.9574018445185715,0.7378714717333048,0.8350995825229189,0.7833416402480029,0.9281166349317435,0.8573217415362316,0.007712684945267834,0.9581149206009402,0.9919376781424237,22.311245997034533
63,64,0.5620536838568887,0.06070745275248607,0.14701514789779652,8,8,800,2.000056955677539,3.1168978297995356,98.44659118877676,0.6244095135099659,0.9571976471435365,0.7347290601401394,0.8387920430928448,0.7832410617275032,0.928533724017505,0.8597199279247215,0.005147427903190952,0.9649118416372389,0.9932936921863893,23.19474664786416
64,65,0.7289501475635357,0.19723969541942876,0.174741434652,8,8,500,2.8744143594134886,1.2381582153571935,131.2621215850357,0.845061558841004,0.9562899075299308,0.7282369872404135,0.8392849568889778,0.779766911899552,0.9294380953327698,0.8613014258602053,0.004941964139017983,0.9596422564188846,0.9922440570973189,23.067834986886915
65,66,0.6017182375680457,0.06369320800016964,0.06424666822251719,9,14,800,0.5503265892103035,4.274870097807372,32.81553039625892,0.7421722131457543,0.9562444711030456,0.7278014690797335,0.8395306563903077,0.7796400895536368,0.9316202000171172,0.8612857808850244,0.005454198014409793,0.9368799204803231,0.987574612460066,20.168258794479122
66,67,0.9750309835254025,0.47530357346877805,0.11895319874342436,9,16,800,0.27511244177544325,3.012204629505595,131.2621215850357,0.8362592280385193,0.9563125884011873,0.7287978752829977,0.838054035712771,0.7795954774590548,0.9288575315720828,0.8616365207222934,0.006354552045262883,0.9612899659345965,0.9925731317314875,23.306252246067505
67,68,0.9805797078550826,0.44585543260137295,0.17134401104532382,8,11,900,0.9383339676310621,3.2717100274635986,98.44659118877676,0.5078714564978385,0.956357926965792,0.7304119179789474,0.8350998854816135,0.7791805065411938,0.9270654482993415,0.8592795281110271,0.005821585635054193,0.97044300179166,0.9943830432656103,24.54662220689867
68,69,0.6891578035826298,0.04419848357337919,0.07502284970799186,8,3,900,1.5436853710448952,3.544821335618887,98.44659118877676,0.9930883986418474,0.955994863054357,0.7268191562330513,0.8385463435915147,0.7785525002020142,0.9299906305858009,0.8610211454798826,0.009746078057284212,0.9464895003871465,0.9895717496671791,21.570414344768917
69,70,0.9945141791750869,0.3130880857965691,0.11095013890793123,8,17,900,1.2875477801890707,1.3388833774416709,65.63106079251784,0.9278480469187698,0.9560629185447425,0.7278050077934223,0.836331109616515,0.7782650674114288,0.928676778935585,0.8599272297753799,0.004003820755803057,0.9549894998279032,0.991307900404616,22.70748615304987
70,71,0.5196560699205495,0.3997051994545213,0.12930107400327248,9,24,900,0.47093304814858117,1.886429826210363,32.81553039625892,0.6384388240736019,0.9559041060901293,0.7272422121320082,0.8353470997764164,0.7774967462312811,0.9284879468072699,0.8579658979565222,0.010822399787175094,0.952278761863328,0.9907575499794683,22.48009608776611
