,colsample_bytree,learning_rate,min_child_samples,min_child_weight,min_data_in_leaf,n_estimators,num_leaves,path_smooth,reg_alpha,reg_lambda,subsample,subsample_freq,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
503,0.6499299697399991,0.03220253933531824,16,0.12490474406030593,11,1500,16,1.9914954540285723,1.3145492212044314,1.2153220996338363,0.575950131638368,1,536928.3346016397,38233.95750794707,1209910.2450600616,205216.31950452976,318459.4686494836,6521.590731247139,688711.3600722677,18982.880324170892,68.60178059036348
448,0.8630941732710051,0.04983858584558218,16,0.35385175419985604,18,1500,15,1.9123652791009007,2.3539988813792867,3.9295537863902195,0.8696430863645118,1,536995.5125492441,39646.91507266469,1228542.0648759468,201171.3603757096,311897.7420508994,6044.9131260939,681458.0576349912,22658.106788992016,72.17037514225106
895,0.5796329251311831,0.030622051732049394,12,0.14046039270306168,12,1500,18,0.7877541719015159,1.668352190982331,3.9108254802438682,0.7677028370318593,1,537223.3361171614,41614.13203484225,1210679.1646375991,220859.8805638225,322481.2454893665,6828.990165127665,708857.1634954297,19794.11811235605,66.59056724428206
884,0.5260003155795554,0.041789494913880176,12,0.45251777845416175,8,2000,18,0.6900691028513584,2.482036503034306,2.5936018664376976,0.6138383178143674,1,537234.1679955074,39633.55546374062,1217533.1664144285,208824.83428762484,318311.9307967622,6161.76773105323,702958.2911076169,22456.970192548382,68.77600743734737
421,0.8895201653428598,0.028577337137674002,15,0.2723302911790091,19,1500,16,1.1157436910908318,1.0716782683117003,1.8871279127692744,0.6270218319478007,1,537367.534266745,34399.245688795185,1225915.125896092,193723.31653167616,315342.64628202503,6850.445400219376,681128.7358408213,21966.080982458698,70.40750453592412
827,0.6153183218217025,0.033007388320650755,19,0.4729275393030038,18,1000,18,1.88632765226399,0.5853684758853386,3.3256995794763484,0.719573009799735,1,538874.5112412432,36433.831535632205,1208309.3746157933,202814.83980419766,324825.8930487908,7556.1350330160985,697559.3343015421,19981.04300099252,65.89641490196752
364,0.7323801519552717,0.04956192038209099,19,0.36917177361789316,6,700,17,1.0838457075376828,1.3010641186922465,3.3874075075510377,0.8712728392455806,1,540862.8960271903,39526.02593636856,1229223.9959869613,216917.7781243759,328813.13731779397,7072.238099204592,707805.1913604792,16083.267436118078,64.48944237421168
539,0.6830301329001727,0.02534313520170767,6,0.04669896258097203,13,1500,16,0.8597299283098854,1.182353950245207,3.019645805000557,0.8074988525450052,1,540871.5734180949,36625.703833551575,1216662.9365712446,207939.06106534365,329643.1695657073,7044.410256228492,711624.3302935304,22097.849396407302,64.0778949342931
874,0.5811974236764789,0.02423784509865706,13,0.1688829281874656,18,2000,15,1.8638485646922522,0.8561408497535551,1.1966105148988415,0.5021256676619448,1,541010.1182384471,39157.05840050931,1222975.7492816139,201689.05818078626,327128.4405709364,5121.855958921292,704116.7146700688,19147.881027358013,65.38156000567348
303,0.8389086670887438,0.0454051109627252,14,0.4599371524709642,8,700,15,0.8312791744445134,0.6362548716398361,1.1440752731657056,0.570088708842331,1,541392.8398477555,36379.36320924476,1213098.848409633,196864.3291173163,336987.9747840037,6121.7388091418825,699637.2127335772,13472.360707178263,60.65642704157841
535,0.7910524550798754,0.04636237658341602,5,0.3633548551048436,10,2000,7,1.2308180103828708,0.5866770715165293,1.9952761080797274,0.663155843402912,1,541651.5290970197,32942.857769426875,1215974.1574856727,182241.20984394167,333447.5271654539,5346.201586267624,676086.571230619,17378.359060210143,62.43980985597675
801,0.8499588938391704,0.03927379813621235,8,0.4947161748760872,14,2000,10,1.1884545770980233,1.3344951263371927,4.767266000200623,0.7414977154253026,1,542302.7919611281,37619.00205097802,1237768.5550077972,198428.21562719613,322390.5956148412,5712.65874211383,687249.355983922,16602.364741773312,68.21296878306438
