,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
330,0.6778495346819488,0.02882379109951244,0.11273439365041399,10,12,600,2.7885441312502195,0.7389108156122031,488419.4695230181,36957.37891712542,1167338.0099060677,183315.804693539,213049.31550731775,2879.477910763216,441730.4837980779,8899.487012090798,129.25183700308204
887,0.930241369962806,0.0300040962945059,0.12286881350835731,13,3,300,3.3105591290408958,0.9650397382365562,489799.6678758053,40099.75591893565,1160775.9645540765,206588.3516777625,207045.67430291677,5870.495128911792,485662.03499561816,15654.571962016384,136.56599903613883
232,0.8768645366776527,0.031145899065031346,0.16282663844493692,12,8,300,1.1632276928134049,0.6883210519142556,490108.47472964384,39760.655884889195,1161242.1571419053,201404.60878475546,205773.83599208423,3225.6901127078027,419625.38482974266,21513.426204836145,138.17822725941576
492,0.668283345324992,0.015231843154480063,0.07133451173928192,12,17,600,3.075645702705999,0.9642422868857687,491059.8748851384,35443.34089261875,1181971.5440215194,206730.1800443183,217260.32941511902,6855.393915143949,493580.3413512761,24663.675141969095,126.02371827710476
800,0.9569876375808046,0.03931335549487902,0.10927442973405854,13,3,1000,3.6630634962019935,0.8738900655524018,491724.9070582265,36697.14004539945,1171634.6586162304,207758.40655478413,221953.29932332048,4247.446339806784,508600.7880271788,13801.330889817653,121.54431069840888
667,0.608009291892875,0.031253470755205404,0.12623993914652698,13,7,800,3.0960215864607745,0.7921177035165423,492812.3259399069,36174.338664041614,1181754.913102547,204240.31293472162,215894.9109664446,4091.9431676370527,477864.5227424414,12619.929683577542,128.2649108002838
984,0.8889494030531193,0.03899693320470454,0.04183900579270583,14,1,500,4.89132731764737,0.6634080936109638,492881.82478314417,33290.21876696596,1177650.2535448303,208383.35379385325,227155.63234621566,4819.293131393816,530970.9270968008,13191.639207832059,116.97979473030462
986,0.8679879696386626,0.03599040923166086,0.08700417749507904,14,18,800,2.0119678240721504,0.6605830489601657,492904.85332064115,34426.21206052199,1180850.0382762128,184052.54249989148,223225.5485971549,3649.238370405769,485071.32454220596,14018.973454103774,120.8102327078001
509,0.9770636707866522,0.04136701981183538,0.08618133157710883,10,13,900,2.319908490834437,0.6474836382036445,494152.47292011295,32160.772575431383,1164115.1124454401,190537.10903167457,229231.62166076555,4565.2376097261995,473889.6448192871,11334.69114468505,115.56906911010626
378,0.6052118271028335,0.00709502469788359,0.2588174880875537,7,17,600,1.9760296315498511,0.981158718399131,494337.2197181348,32351.192306355686,1193426.4507425483,216180.0291018044,187539.91398146204,2640.326072593654,346590.78540254163,19147.062869909085,163.5904054893611
625,0.6675433853481579,0.02681739576041542,0.22523949718357364,11,7,800,0.9726751658424204,0.9282208557022875,494514.85697031225,36252.38867894046,1157348.9000731015,190327.29309631322,211931.55195213942,4155.834702790417,438537.80083200603,30338.264871157535,133.337062091627
718,0.8314167272814126,0.04128607901763859,0.05635624899715569,11,13,800,1.582285654372081,0.6347868081023732,495065.89536738227,34517.34123941651,1170806.1385237072,194932.3462577716,233501.42102007996,3499.7158528500954,498920.9197747578,18706.58770085916,112.01836511513523
687,0.7686850470103666,0.01996126628187561,0.14472355424046277,7,18,1000,1.7509934051160951,0.8468878331977833,496283.3446079756,20810.106516980362,1197611.1876915975,160178.0744542178,206199.0147888436,4872.515415343788,392451.34764464514,18789.782264376463,140.6817244574085
413,0.7189163161229335,0.046033493041237716,0.18971337614511447,9,3,500,1.3370101392877065,0.60604427368579,496941.20282433537,37044.03589711598,1141663.8088560137,222839.91600917,229460.85749106048,3510.6249442822427,433164.6932277383,12438.490116367866,116.5690515837524
686,0.6145844203302474,0.026371976081108695,0.2602492324625324,12,8,300,4.2199673597101235,0.7049633505957208,497641.8121762653,36264.43170889839,1174547.7167860963,194433.77073098914,205764.20933519685,4008.6147713322257,412284.9079618609,16990.83047998535,141.8505209356356
145,0.7536362445964998,0.018365968713306813,0.2971810788949977,13,6,900,0.28921338281698183,0.9876410520563246,497654.0031200706,38649.5171128574,1192923.8009626502,219660.22962148342,179641.8557393159,6252.293162847622,400780.56833370955,27704.012818081104,177.02564141968807
324,0.8383955368733927,0.050629957307579465,0.2641418469081355,13,2,800,2.901107593925147,0.823875377935176,499947.3117680809,34025.86849881218,1137918.6422957217,170210.98320381265,241185.76599048654,5751.474357016355,517350.10775627755,11765.66769211856,107.28723758424495
125,0.8880810326529183,0.05328936506433718,0.0520055615981347,14,6,600,2.9870655108515414,0.8402067441734613,505062.8994737682,38663.54742217093,1192366.338725351,225654.52161843542,254392.92407018616,6714.568291037256,602046.0667689316,19347.957496630373,98.53653607693234
172,0.95301339432784,0.04125426722021064,0.2573542140690501,11,7,500,4.887331931573929,0.6803436359449176,505344.49626860104,42867.67448218839,1167395.8609392743,213368.2848404305,228075.14800914685,3413.45197270435,455258.22130167705,14195.846454392235,121.56929445392026
357,0.9997864992862523,0.05240403249878606,0.15957123985171276,12,9,600,2.28849802579647,0.6835530896020655,505536.3184287411,41790.16737192145,1189252.853427092,209947.35262018058,244223.09072046675,3617.793862605282,508270.4929919553,14702.769894065948,106.99775641090739
810,0.8431113754427548,0.04189548627413081,0.2029182980620089,10,2,1000,1.3311575074940514,0.6125370675435466,507010.43333231506,31989.283865513575,1182332.7857643003,204224.35668372226,211888.89426844948,4786.064962972056,397229.34867188626,10396.42788512158,139.2812681772579
803,0.8968089807519041,0.015756521541105795,0.04648157780441713,11,18,300,3.118718630437978,0.6536099577275967,507647.22611928603,34526.53913621006,1187920.7580946493,197170.75702845023,261191.43414717756,10680.017663241288,632352.6913841907,37436.16568809482,94.35829807237639
222,0.7440545629886076,0.04382137338191927,0.2910873469093188,14,1,600,4.126430541164484,0.7118814153885917,508001.4089117026,30250.568308780763,1193196.2173414598,207983.68087879487,227364.45543416744,4294.154296319559,476780.56848801876,7531.699278444453,123.43044252085944
746,0.688130957375033,0.05160832443949981,0.18551055061559857,7,2,1000,3.334677087786085,0.7068576279482597,509213.27661853924,29626.91284012365,1163695.8761828323,200434.81657427602,256829.09506998528,2797.4161204427674,498533.6298177283,7597.790283120598,98.26931075693737
280,0.8210054459130901,0.04707595506284895,0.11309895778273091,6,10,800,3.9917209411216414,0.748773067166746,510795.23141305643,36713.64707671077,1173165.9380218375,213436.74859035446,265610.61757865536,6243.721496959005,532082.7818230987,16209.61968597036,92.30979396439017
106,0.6275686157468875,0.03866053274439363,0.04127408981554285,14,11,300,0.5661902292037763,0.9939364795849338,511806.2072124431,32165.503026343686,1233138.0556014376,198636.97965738122,254256.63968463228,6304.5894272715495,632152.0028439753,30350.34304969496,101.29511970553176
469,0.8570310441294535,0.03927891546186357,0.23216941697785298,13,11,1000,3.513201029291144,0.626611043284342,512268.6214295297,30088.334246381703,1197277.078744948,191246.67615565448,220811.28002432417,2385.0789344790287,430005.1895494143,13541.46667000189,131.99386434112387
264,0.9142606472320928,0.05916809546169366,0.13297146690888648,12,9,500,2.938846804310991,0.6737905012534557,512398.2019553747,33720.131477064286,1174646.726624427,208034.90447045883,264136.70376716804,4433.04928891951,566102.4042328632,10588.778700675848,93.98977675099817
300,0.8162793906579642,0.04826723509772041,0.08256814847765169,6,14,600,0.3712043649419322,0.6905405977365944,513399.91080239444,36694.53191949639,1199663.1492384202,189374.6905124049,270682.44000521704,3003.3454795616467,534365.9325420735,13547.676677522755,89.66871688924458
762,0.65044405667145,0.06492850670894051,0.21285872390696178,10,1,500,2.5641768121757105,0.7373203876782963,514125.9594056543,38125.23559054036,1172266.2394644697,222068.86528141383,271911.3747866134,4915.468513440326,554579.4878619516,8670.30902943444,89.07850390926914
384,0.6130471793366266,0.02885146420794943,0.14330960477245433,6,18,900,1.2550069163115012,0.8256296115334071,515007.48865098244,27659.608004866488,1236760.9190362263,169418.85785548072,243589.75222483728,2567.0385905050452,478055.0054305318,12504.107734052224,111.42411942503321
263,0.7736077464695501,0.044300214839808616,0.07618358581336337,14,13,300,2.10624026647036,0.8544709458832931,515211.896094923,41100.633535335684,1218712.141397785,221104.06838721997,262546.97828835994,5872.864636928192,625318.7694799684,20497.689328601216,96.23607914049455
696,0.6836389458358457,0.06517656502163277,0.07106046216606891,9,8,900,1.5895233688664179,0.6035108847791718,515913.5579013708,30235.905744890508,1188943.2054743618,205821.58526716888,275933.13368270884,6767.323493510737,570393.1890810402,21883.612823885895,86.97049934373291
124,0.9657195226241996,0.05887554144507057,0.18295494265427606,11,2,300,2.0262404401384435,0.7989859575919562,516795.2417107161,33940.64996313244,1174744.2572696689,200387.90410728194,255992.36031367414,4405.92053598034,530128.1617576762,14808.249737329586,101.87916587724466
982,0.7205824745642672,0.04727817238719412,0.23751543147697535,6,6,300,0.2678827980370396,0.6561996039182069,517596.7507426102,31154.274844238193,1160953.7275369528,189241.9158664479,253739.4967041192,5190.4207190160405,471500.65834870766,14125.77135154907,103.98745858086488
773,0.6873212447246049,0.027346587288133828,0.015301013438630166,11,17,800,2.8474862925928797,0.9329564166807631,518364.15565835044,35551.03067463283,1214471.8975725155,213820.36458511004,275432.6481451392,6042.783212482731,643406.0091347138,22485.702436252344,88.19996799551464
708,0.8788665017161401,0.04161153310403615,0.26888788699390553,12,17,800,2.7485862758165553,0.7668657115902808,518767.66674286255,32991.5701197407,1238141.796754444,195633.24441175067,240171.71784982109,4933.002718669241,481431.00650114566,14727.654499456203,115.99864937771191
551,0.6054729659042725,0.04079936000241918,0.0875774773404352,9,7,800,3.8872773359119277,0.8691388533954179,519569.1710358059,35592.9226699479,1204246.0397435431,223073.7715447321,265140.93845526,4732.946849851362,572518.9124363491,8583.305335420817,95.95961833086677
713,0.6200701401279896,0.04834727989378357,0.22613702243882686,12,14,900,3.829342128312658,0.6316852600033483,520682.6519338846,36927.03845167294,1173792.8314969938,185384.9921694473,249099.54672214977,3480.813440004105,501466.24270793033,17321.155488824912,109.0259331200886
521,0.9309208598948984,0.020957608358128765,0.1357548627706364,7,3,1000,1.5884734877358109,0.9874698422297429,521995.0553168645,36102.34925559737,1163814.495929157,198806.1400471072,256581.6440531385,2072.306050019062,480081.2805040024,14100.897382156267,103.44208847954786
