,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,mae_mean,mae_std,rmse_mean,rmse_std,train_mae_mean,train_mae_std,train_rmse_mean,train_rmse_std,overfit_gap_%
88,0.6611436556737328,0.12297886419225407,0.0582044119778667,13,9,600,2.6225569478512734,0.7641587307958646,89453.92586715391,792.6644859322729,412946.14123306936,19136.46017197193,59342.452065247424,1190.1470372700433,236429.08149069094,7442.229583141793,50.741876605972934
65,0.6231455591030829,0.19726089930406493,0.042026819780765313,10,8,500,0.9406057986188066,0.7854793619759929,89757.9532701836,794.7480729516077,444274.10199775983,15705.558959873697,75087.34344659017,1165.9904032914249,345928.3304669061,8626.100321842921,19.538059478730506
217,0.6209355503146033,0.18923821174293454,0.11888328155379758,8,2,1000,1.667847747361002,0.8321900026866699,89768.77901935946,365.13710498367016,421549.2844873229,19386.014461215535,57983.89592680414,1460.967891049852,204459.07959168768,6610.963284178998,54.81674279472166
269,0.71287482987728,0.13085284186795298,0.08409363972159994,13,10,1000,2.144434394305193,0.9379157745144086,89805.45911709273,724.0088386244796,412200.87816548627,17858.609980243607,38210.97137437871,1434.276860257287,144008.79905972397,7947.485131283784,135.02532358365863
250,0.9386057354761113,0.4594632668197772,0.08567230605200847,10,8,1000,3.642453385808066,0.9105789785998899,89846.25992732414,913.6055213196644,417882.9796084179,19842.777194723254,56447.36493252462,1710.2814335093374,212425.61357892418,8025.852599906321,59.168209241872475
187,0.8827108867541783,0.08352095395047493,0.0602857648864953,14,11,900,1.7836602652000084,0.8134047701198782,90253.74379540041,690.4951305921878,411945.4940638044,18334.41124537695,46145.382620056684,884.0753565913654,174613.05335444413,6787.144793783899,95.58564404702199
109,0.8950004992438994,0.22610897044490358,0.07738144688199458,8,7,800,2.0946272475227397,0.96593836042724,90803.73741187305,1125.1247827475734,434621.6404917227,17028.466433170426,70993.18708483827,1781.3710865271394,300093.6175790187,9852.032265820362,27.904861213458098
134,0.8586659676468653,0.34658760572846237,0.025478741997613,12,17,500,2.839726152763147,0.9661953190352167,90979.00587312102,218.57206026232362,465826.1142443528,14445.379503039385,79255.5952761311,488.25230530172684,393964.34977943584,8127.046486405728,14.791902774996357
235,0.7664615992719046,0.2406720758176618,0.015757683046917006,10,10,500,0.9484742408733859,0.8475792772030886,91200.21271474981,580.3287308647558,485977.22475266317,13239.257361926502,83097.08840107218,380.13468246459655,430950.8160871894,6740.098583167215,9.751393784782802
117,0.6952731124186906,0.04972069637967258,0.08295165729983622,13,14,600,4.813246592774373,0.9777638902309094,91418.60827675844,406.06316261683156,415002.57894935046,18989.56086233588,59035.3948268202,827.0008386907426,236818.3811796791,5285.62391580531,54.85389493020942
152,0.8085041248721659,0.43408040202577347,0.08358565967660037,14,13,600,1.1934501565050875,0.9720361402038955,91656.77303442702,675.3159081721664,413068.20571859163,17578.26818453141,49233.770208409995,1311.3799826754564,189669.47011747878,8008.015392785597,86.16647200983694
165,0.7886129840410051,0.27161640289497907,0.05777372148377934,14,17,900,3.8829842639587087,0.9083687378576208,91806.25086045323,468.56216693267504,411589.08727165405,18872.587810513287,55334.17125294437,1311.1556887294555,218288.66721215844,7081.723916998388,65.91239876131363
156,0.6036289618610899,0.4093397102499209,0.04853461542795741,8,7,500,2.1612039194625616,0.9360486010964875,91972.41563768011,729.9178386638742,465079.98459033825,15189.533132382969,81327.12371880561,914.7704656907501,391676.5822544743,8134.664025863932,13.08947302216339
24,0.8165791895310264,0.3478921996725411,0.0785650065391899,14,17,500,4.981268498789621,0.9861677405155175,92074.30695124295,237.140963119081,418262.44090421434,20205.27865942526,62051.88629452902,675.9449904543543,256564.68001717902,6242.2318482298015,48.38276875937766
225,0.6847929963608954,0.40936750203713507,0.10675839335392455,8,2,600,3.4747554445123088,0.7384398906151142,92142.83425511439,233.32720984493494,431452.72628932534,20601.019365088414,70624.34922398673,1317.0995054609882,275929.9837733702,8480.565731544226,30.468932128324866
297,0.6442882373305262,0.2112742141559723,0.022607402551421588,13,14,500,4.831217053533991,0.6509815837691476,92324.89596454728,409.2927420267985,467200.8614868434,13421.37194844266,80976.9587893685,359.9518743197236,398622.99062238453,7117.954518878267,14.013785334537232
263,0.7736077464695501,0.044300214839808616,0.07618358581336337,14,13,300,2.10624026647036,0.8544709458832931,92339.95983170072,382.1485749764824,424117.9044999433,20138.393850621578,67658.20226182751,740.3033330772356,282803.32584475214,6834.374263574305,36.48006707946267
237,0.6438944794710014,0.2739797444868465,0.14631320036798826,9,4,500,1.6233796344502998,0.8949428309551198,92396.61194784282,717.3611331853091,420320.88185378263,20119.272136208063,61932.441802938294,1592.78640605585,224087.50536987404,7331.5069523864095,49.18935739985499
179,0.6122610008823224,0.12884144425560684,0.1487868870217949,10,5,800,3.676751493328763,0.9070895552267121,92495.49501241946,600.0648444676611,414439.50797953055,18896.984328772385,49294.79592400065,1706.6091356410107,167978.3110807856,7446.7359656049,87.63744382880232
259,0.7650487363394495,0.34780907324840343,0.010965479081283605,11,14,800,0.9065963996275261,0.7550694379001577,92947.4650277075,310.38489731190435,486759.8874679343,11665.868690239013,84415.17571341498,295.33983765974034,431971.2777523662,7325.768848018524,10.10753012380048
141,0.8950329206355565,0.11938857288415117,0.0431422339394184,13,18,800,3.57776657617121,0.8356434137883579,92997.49198829105,376.3616630268375,424874.30376158905,19199.706413255248,68725.063454595,896.1210394266631,288577.9930534942,6419.695954835065,35.31816096427798
268,0.6028116815254476,0.028640125538811678,0.07756711068054692,14,4,900,0.3447900817821059,0.6228218884605017,93103.61466286941,791.8052611625108,417895.4518684551,15422.361755658701,31656.71404889769,982.1532150584708,113061.93279805093,8505.789008372078,194.10384956271653
276,0.7938785148520188,0.08288727008163788,0.2937094441000847,14,2,500,2.311477805003036,0.7647062166338034,93722.6361093901,1128.515214308392,435114.55847497965,12783.935945842979,16508.18330772832,886.7509145974835,87756.81497942116,9397.518916215622,467.7344039759589
37,0.7351980627406143,0.187791476319972,0.0381945819522607,12,19,300,0.775208083638721,0.9927363553242124,93746.58754461199,338.3416716386484,472957.96400587173,13320.568559256231,82848.71872536263,141.3607637074995,407975.5616342533,6746.305411488792,13.15393766724986
128,0.71884868624927,0.2832023201484486,0.1528151206597299,13,5,300,1.3495561119609745,0.8159371115632774,93755.965906606,954.378263318984,418354.99223281816,19889.003487691443,46388.65713229335,995.3065402562538,156817.92149634744,6305.820402714028,102.10967875019175
286,0.9953663957648307,0.24267949157994356,0.04673016950768231,7,4,800,4.40963879152322,0.7709958751682461,93968.95540315179,992.1816607159568,468388.8213041203,15346.455831988014,82714.55313946902,1549.2043253085465,381459.13639564934,11134.559200170874,13.6063145317441
166,0.937913291246755,0.38051199547149944,0.19786609648942463,10,3,800,3.9826864548808816,0.7926089406050201,94058.18627418322,555.0863050334917,426085.7428985263,20663.263454862103,43041.449844209994,1860.3613950817137,137915.36278975065,9074.083165730144,118.52931677401682
223,0.9769548076408933,0.4366683308619239,0.058529263405632886,11,11,1000,2.8328768108570928,0.7564171052232698,94284.3083778335,412.1255398395386,420839.012406593,21037.272077122878,64784.96730608112,1063.894775411585,246179.2267024311,6548.676275681214,45.53423779992152
28,0.9977829850443283,0.08796262633867269,0.015422609084656261,10,16,800,1.8323439229142995,0.8976682092226249,94287.05654231035,329.9167949845042,486002.49612264737,12678.327658739818,85568.27528774917,372.5814119930129,429812.57561211026,7337.0022057223705,10.18926842365544
296,0.667632428142397,0.19487969371324604,0.12385087101241557,9,8,1000,1.9020027448520482,0.9907201314042637,94656.38735340776,720.141401971268,416616.16147669725,18017.249987988384,58601.269821567286,1404.3213386868556,209404.23964404454,6528.335323156011,61.52617109087104
150,0.7983502940315084,0.04052310795382397,0.07605496058494339,10,13,300,0.30758513119617525,0.9531625076549846,94810.13120574057,699.01981229373,452738.1287626088,16004.62458449314,79926.09430574116,809.8947129674664,360750.4009514721,8523.421957357406,18.622249753708118
183,0.695017329969551,0.4856975470208198,0.06429308581284693,10,6,900,2.1858269440841327,0.6389573570214209,94965.0612693208,726.6267138857178,421652.65168482624,19738.37584847542,67352.24121423055,1547.2057102171943,247968.86796343708,9248.647405226297,40.99762614767457
58,0.9467474821243366,0.41924038188199253,0.13782744251408233,13,10,300,4.1093002964517815,0.8824968908625985,95105.42007847466,847.8865279884366,416235.3558072218,18904.460010918036,60368.76943876804,1212.8946630737662,224062.9077542062,6522.92671612945,57.54076315062204
62,0.8724157708387636,0.11875323564623497,0.13006686786160745,6,1,1000,2.1816791580327797,0.9208436996106937,95145.23200349906,679.2493367598956,442259.76210748643,18261.274248657977,75363.25160935962,1616.8164300139927,290637.6890652023,9921.652258884655,26.248841407053412
211,0.9451188310172914,0.10836990004538782,0.038714366656048514,10,15,600,3.035470180443904,0.818678965085628,95536.4534404828,236.48642958730568,460705.2203793701,15682.00288605461,82630.40754742455,565.5545441359617,380250.26182432316,8322.324659502377,15.619003071782034
8,0.9314950036607718,0.17837666334679464,0.09428035290621423,14,15,900,0.3727532183988541,0.9947547746402069,95560.75452371435,657.2355471611788,416908.0228738257,15928.384947636665,38584.268622865195,894.7373762905515,145186.95010318243,7732.410598798358,147.6676581789208
55,0.8707079617697213,0.24126047482132124,0.1579076973315415,10,5,600,3.012204629505595,0.8214812209383203,95731.72715345013,485.52150359279074,419638.179173383,20285.568974816164,55800.99861980285,1506.1638453262194,185401.83826817744,7945.19510761099,71.55916474848989
92,0.8324952885690449,0.07718135763710116,0.15434203055644524,8,1,1000,1.683021390969603,0.6537658707755897,95930.75287589745,746.7827852196949,428227.436425656,17360.009750416622,58515.42574449984,2411.7895960002015,181414.80684279872,10863.867978249738,63.94096369522608
74,0.6851856646035643,0.06818573779338488,0.014363399700364578,11,18,500,3.183221608111413,0.8219262434168902,96223.38107310969,308.0805859711243,507211.1290053778,8659.317854319881,89307.89212325176,264.7533007639071,463460.0410687704,6230.480685224574,7.7434242209120985
127,0.6331194671700505,0.3015760547331941,0.08360473290439628,10,11,600,1.7783635823247457,0.8876183620736982,96312.01940639499,693.398050186821,428033.1928436663,18328.40728610575,72948.25200481778,1297.570539245793,285403.01944363926,8788.13740313434,32.02786462934599
147,0.9263332499962471,0.11222028591833033,0.07714528444678692,14,9,800,2.9004310391890558,0.6365947349591019,96474.00410357316,870.9436523171321,414242.4837050042,17955.800337747878,49283.12661845388,1231.548959071306,171631.86041899608,8071.437692548142,95.7546339347894
184,0.7620083196321286,0.2964591999158909,0.18382446980305023,9,2,1000,3.2606162276521893,0.7248592226785788,96600.75496824138,1237.1853157068224,424695.20505748555,16587.396524661082,50102.30118279002,2119.681442078042,153738.15959770684,9760.80774075224,92.80702220804069
114,0.6411925917325262,0.1671814056552411,0.03265100914116677,8,10,500,4.487152049094421,0.8106313866637175,96864.08760307073,552.9687278619048,496095.0435106447,11646.369472601218,89854.67335342306,718.5917399702572,447398.77653335145,8320.834767489754,7.800834378505517
102,0.7515286262227663,0.22850010964083917,0.19118736162175376,13,5,900,1.1462569761632073,0.8889010273572264,96926.00646236888,706.1420483221725,428498.33409896865,14099.293273362613,19892.980804477767,1184.5943666916,91226.21771050345,9155.629464171701,387.237219072526
278,0.9175958865472025,0.2486279651573441,0.11193324146856552,10,4,1000,3.7705384015808203,0.6071782714273967,97265.88310481445,938.2163306533882,420800.8407445142,20445.056368297428,56836.57547247888,1897.1587993295034,182255.15633890033,9948.662091262197,71.13255381107902
271,0.7260758084389436,0.38592886309081065,0.035927383228763946,7,11,800,0.639941042667932,0.9528542457128241,97336.60018618249,434.3606923468227,486001.9982890291,12206.882237131154,88822.07215320405,698.474458431932,427482.80755277124,9405.800138695695,9.586049758321579
51,0.9509888054108212,0.3675355219019429,0.25104427911545457,14,4,500,2.117354711540593,0.8274081134999833,97348.84147525097,1375.6169859760046,434080.4486744432,15058.625839756207,19913.79964609204,1391.153203368465,90717.58035624308,9600.817212847942,388.8511645458634
33,0.6301385024024513,0.15284850964359092,0.0672733093451038,6,3,500,2.784006312291751,0.9744619096643123,97357.75463138048,912.5150910227193,488195.3484386343,14983.273679752103,89277.98710323888,847.5256597809451,426398.7267129081,6816.056784051617,9.050122869367971
256,0.6752098938461665,0.1776922843428697,0.24513753534561916,9,4,1000,4.24023895565386,0.935985592112873,97679.92235673808,993.6335817374796,424137.785670859,18412.73629739409,45604.09513277889,2254.3570947405556,144175.9441098054,8256.395951149454,114.19112049551137
42,0.6625748170684344,0.12512144908229766,0.17476799941183616,14,8,900,1.3996694847297142,0.9819461122652776,97922.61748245508,902.2952725209674,423204.78412513365,13641.861158667716,17755.953295992582,939.5354390510563,90927.76024736097,8889.899162426498,451.4917495562216
242,0.615208739294982,0.3731036287409193,0.20771066026110424,8,3,300,4.7825069914974,0.8950033437836027,98026.70296265713,591.6756962743292,437861.1929238758,18954.40737513605,76892.40074031193,1410.7429599799405,294380.64253896615,7049.0202329137865,27.48555386340701
98,0.8159124247658532,0.21937233769416953,0.18324588127183772,6,1,500,2.717764305569943,0.9625888443858188,98208.2701438715,871.1007880346764,453731.68666369334,14095.762194809382,81719.4296197489,1660.1702461569291,326212.73271727,11661.577421124954,20.177380827114575
93,0.625349988189107,0.4949801161949726,0.10670615349241688,7,1,900,0.013554497071648353,0.6466784256566726,98214.89079569146,1054.7562679648445,442904.2196436853,13525.021007317366,69977.48142584173,1596.602400852188,240325.5863943179,10268.750725055683,40.35213727972502
282,0.7148551832338302,0.3964272095169197,0.18327800976434724,10,8,300,1.9798523633122744,0.9660360273628172,98606.68083591662,802.6400028169817,426574.765734673,20330.02959541124,69283.56608530505,1975.6239014484963,253140.4913923021,10294.459548249619,42.3233335225667
246,0.8575617014164523,0.26515106662457916,0.022585367029490877,7,10,900,0.6261678521641356,0.7897344439624856,98728.38204035324,670.7260151774161,500854.2130200237,11647.490472665973,91530.94194214379,691.9545749912609,450869.92187973764,8487.00270451976,7.863395640305892
176,0.9135330213675448,0.24045191572449243,0.02222623182774183,7,12,800,0.7977234005659417,0.9487134266368806,98903.84329569031,393.5631258812852,508204.09881256666,11328.236204782004,92383.14613430084,304.01130474611915,463561.3216467209,7102.04753686592,7.058319005406122
43,0.8951587666783074,0.27717702625570034,0.19351622387030568,12,3,800,2.8301860524703812,0.6634585790569963,98976.89681921958,1321.4080836805374,428547.11324722035,14627.343181293638,31738.539471880682,1785.1281297696164,106451.20211665575,9721.539609696036,211.85082384433568
281,0.7806787276926731,0.19869069524265826,0.03802239159258868,10,19,600,1.0188322956384455,0.8093318524778965,99098.3133939226,295.1002044135517,469346.0637935163,14346.329486659462,87236.91555639259,521.8608064005532,396540.7207731222,7680.2876719339565,13.596764353575107
284,0.6675416826710744,0.2535255519327205,0.1894337888107054,12,8,900,3.663176173504164,0.9281510029795893,99146.63510417861,1189.3270513800296,419913.9049771172,16496.678000475393,31863.499011622273,1826.9375012677713,113555.53319465452,8483.396799021,211.16053848328048
215,0.6906625608907953,0.17749815291596865,0.03082715282382801,6,2,800,4.001782539111808,0.6934848327641732,99429.28242174078,885.7619130945038,504744.06951748906,11292.952556621738,93001.86650186752,850.0059307378623,453247.72250751784,8940.80984940727,6.911061209448088
266,0.9762716980461362,0.12964837943288687,0.13889704382168053,8,5,900,2.308664068061911,0.7923624003012278,99447.81901738718,737.1037432740726,431705.7138247691,20642.700594357513,69646.36715373838,1650.0066134043864,238752.818811312,8961.488550035087,42.78967171089436
49,0.6858356478833496,0.18862954161398793,0.021688939693070088,7,3,300,3.278613176903711,0.754158648386226,99458.88490595634,696.5798575961275,530151.4019713822,9497.342042568844,95204.6666893009,146.09110234600797,495117.1283415014,6220.800004264043,4.468497569072971
7,0.9706635463175177,0.36363599792821044,0.1079622306417506,12,8,900,1.9433864484474102,0.7085396127095583,99724.82250577318,714.0702967199652,419608.3779693248,19135.16642588535,48196.85082367274,1765.9182951915861,154886.95986780772,9101.183515568693,106.91149069181832
64,0.9877210142476396,0.2615489220850744,0.19881959144057876,6,3,300,4.576271708345532,0.9834809629631385,99830.24983784759,1297.8216893696235,469578.55720181373,14552.415748604653,87962.98386220158,1405.897911835292,382498.806839194,9248.451214863684,13.491204430077852
13,0.6125716742746937,0.3182052056318902,0.104306794322898,9,5,900,2.6992054565083654,0.6812244898939077,99871.44014884644,327.3665777054701,423203.5703929583,21387.827178554133,68969.97188682332,1511.7422710661733,234148.09153219426,8934.814246516256,44.80423496870647
70,0.6535408475202532,0.0068359824134986424,0.032607718105738696,6,5,900,4.983184185369527,0.822172682241051,99947.1608603559,862.6710585259622,503348.9600184224,12835.605173914815,93542.90349373313,650.8043199775328,456459.0869526399,7915.8250773679965,6.846331605530942
142,0.7109062582787095,0.45516955102876716,0.023530203166096955,6,4,800,4.782078487797125,0.9191957288573533,99949.74485926202,705.8321707325671,520748.2693970888,9444.213135275993,94862.73724851552,672.1715365648502,480892.94364681916,7804.157619652169,5.362492964355292
260,0.7609308498746223,0.4371312353051189,0.16303291374964757,8,5,500,2.8074229397976187,0.8242640377664684,100163.81212712188,826.5316194545891,435636.2085972703,20103.35772719725,76158.83695817203,1600.4606777498489,278317.447563059,9391.573993108866,31.519618901394033
1,0.9464704583099741,0.3005575058716044,0.22242177333881366,11,2,800,4.692763545078751,0.6003115063364057,100420.69698796805,1441.7090745664132,430573.43769717123,17062.103036901397,38818.55488531496,2632.637040438402,118855.08315337927,10803.828942876278,158.69251775252758
12,0.9395655297064336,0.3608647605824366,0.08079547592468672,12,9,500,0.12709563372047594,0.6431565707973218,100775.29303511979,377.48209074708626,424942.6859441087,19343.549573886572,69122.10830594425,1252.6754992366323,244093.29918867932,8077.124867351841,45.79314130447825
81,0.919764159563617,0.3139501947454539,0.03452770958466157,6,4,300,0.42258503840340966,0.8389112329021722,100860.7918828173,1011.4113693661867,532573.3490492225,9415.786625013629,96306.47772392894,477.6335259925194,494940.1577198887,7731.0704204171125,4.728980092018009
19,0.9906459823330611,0.20551850665911564,0.019915219870164515,6,1,600,3.403527257773834,0.8123738333268545,100894.00157027435,412.15142253089806,534254.0746698651,10296.634493739666,96449.71147925434,545.0696969344938,494576.08881293255,3623.1042517882133,4.607883240766308
